cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,population,habitat,class
x,f,n,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
f,f,n,t,f,c,n,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,p,g,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,p,w,p,w,o,p,y,d,e
f,s,w,f,f,w,h,t,e,s,f,w,w,p,w,o,e,a,g,e
x,y,n,t,f,c,p,t,b,s,s,g,g,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,w,w,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
f,f,n,f,f,w,n,t,e,s,f,w,w,p,w,o,e,s,g,e
f,f,g,t,f,c,n,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,e,t,f,c,u,t,b,s,s,g,w,p,w,o,p,y,d,e
f,f,g,t,f,c,n,t,b,s,s,w,g,p,w,o,p,v,d,e
x,y,n,t,f,c,u,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,e,t,f,c,u,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,n,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,g,t,f,c,n,t,b,s,s,w,w,p,w,o,p,v,d,e
f,f,g,t,f,c,w,t,b,s,s,g,w,p,w,o,p,v,d,e
x,f,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
x,y,n,t,f,c,u,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,e,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,n,t,f,c,p,t,b,s,s,w,p,p,w,o,p,y,d,e
x,s,p,f,f,w,n,e,b,s,s,w,w,p,w,o,p,v,d,p
f,y,g,t,f,c,w,t,b,s,s,g,w,p,w,o,p,y,d,e
f,f,n,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
f,s,n,t,f,c,p,e,e,s,s,w,w,p,w,o,p,s,u,p
x,y,n,t,f,c,u,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,g,g,p,w,o,p,y,d,e
x,y,e,t,f,c,n,t,b,s,s,g,g,p,w,o,p,v,d,e
x,y,e,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
x,f,g,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
f,s,w,f,f,w,n,t,e,s,s,w,w,p,w,o,e,s,g,e
x,y,g,t,f,c,p,t,b,s,s,w,p,p,w,o,p,v,d,e
x,f,n,f,f,w,p,t,e,s,f,w,w,p,w,o,e,s,g,e
x,f,n,t,f,c,w,t,b,s,s,g,p,p,w,o,p,y,d,e
x,y,g,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,n,t,f,c,u,t,b,s,s,g,p,p,w,o,p,v,d,e
x,f,g,t,f,c,w,t,b,s,s,p,w,p,w,o,p,v,d,e
x,f,g,t,f,c,w,t,b,s,s,p,w,p,w,o,p,y,d,e
x,y,g,t,f,c,w,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,g,t,f,c,n,t,b,s,s,p,p,p,w,o,p,y,d,e
f,y,g,t,f,c,p,t,b,s,s,g,g,p,w,o,p,v,d,e
x,f,e,t,f,c,p,t,b,s,s,w,w,p,w,o,p,v,d,e
x,y,e,t,f,c,n,t,b,s,s,g,w,p,w,o,p,y,d,e
x,f,n,t,f,c,w,t,b,s,s,p,w,p,w,o,p,v,d,e
x,f,n,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,n,t,f,c,n,t,b,s,s,g,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,e,t,f,c,w,t,b,s,s,w,g,p,w,o,p,y,d,e
f,y,n,t,f,c,w,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,w,w,p,w,o,p,v,d,e
f,y,n,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,g,t,f,c,p,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,n,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,g,t,f,c,w,t,b,s,s,g,p,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,g,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,e,t,f,c,u,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,n,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
f,f,n,t,f,c,w,t,b,s,s,g,w,p,w,o,p,y,d,e
f,y,g,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,n,t,f,c,w,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,e,t,f,c,w,t,b,s,s,p,w,p,w,o,p,y,d,e
f,f,n,t,f,c,w,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,n,t,f,c,w,t,b,s,s,g,p,p,w,o,p,v,d,e
f,f,n,t,f,c,n,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,e,t,f,c,u,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,e,t,f,c,u,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,g,t,f,c,w,t,b,s,s,g,g,p,w,o,p,v,d,e
x,f,g,t,f,c,p,t,b,s,s,w,p,p,w,o,p,v,d,e
f,f,e,t,f,c,u,t,b,s,s,w,p,p,w,o,p,v,d,e
x,f,n,t,f,c,w,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,e,t,f,c,n,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,g,t,f,c,u,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,e,t,f,c,u,t,b,s,s,p,w,p,w,o,p,v,d,e
f,f,n,t,f,c,w,t,b,s,s,w,w,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,g,p,p,w,o,p,v,d,e
x,f,w,f,f,w,h,t,e,s,f,w,w,p,w,o,e,s,g,e
f,y,g,t,f,c,w,t,b,s,s,g,g,p,w,o,p,y,d,e
f,s,g,f,f,w,n,t,e,f,f,w,w,p,w,o,e,s,g,e
f,f,n,t,f,c,u,t,b,s,s,g,w,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,w,w,p,w,o,p,y,d,e
f,y,w,t,f,c,w,e,e,s,s,w,w,p,w,o,p,s,u,p
x,y,g,t,f,c,n,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,n,t,f,c,w,t,b,s,s,w,w,p,w,o,p,y,d,e
x,f,g,t,f,c,w,t,b,s,s,g,g,p,w,o,p,y,d,e
x,f,e,t,f,c,n,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,g,w,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
x,y,e,t,f,c,n,t,b,s,s,p,w,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,n,t,f,c,n,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,n,t,f,c,p,t,b,s,s,g,w,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,g,p,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,e,t,f,c,w,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,e,t,f,c,n,t,b,s,s,w,w,p,w,o,p,v,d,e
f,s,w,f,f,w,k,t,e,s,s,w,w,p,w,o,e,a,g,e
x,y,n,t,f,c,n,t,b,s,s,g,w,p,w,o,p,v,d,e
x,f,g,t,f,c,w,t,b,s,s,g,g,p,w,o,p,y,d,e
x,f,n,t,f,c,w,t,b,s,s,p,w,p,w,o,p,y,d,e
x,f,e,t,f,c,p,t,b,s,s,g,g,p,w,o,p,y,d,e
f,f,n,t,f,c,n,t,b,s,s,g,p,p,w,o,p,y,d,e
x,f,n,t,f,c,u,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
f,s,w,t,f,c,w,e,e,s,s,w,w,p,w,o,p,v,u,p
x,f,g,t,f,c,w,t,b,s,s,g,g,p,w,o,p,v,d,e
f,s,w,f,f,w,k,t,e,s,s,w,w,p,w,o,e,s,g,e
x,s,g,f,f,w,p,t,e,s,f,w,w,p,w,o,e,s,g,e
x,f,g,t,f,c,p,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,n,t,f,c,n,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,e,t,f,c,n,t,b,s,s,g,g,p,w,o,p,v,d,e
x,y,g,t,f,c,n,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,n,t,f,c,u,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,n,t,f,c,w,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,g,f,f,c,h,e,b,k,k,n,n,p,w,o,l,y,d,p
x,y,e,t,f,c,w,t,b,s,s,g,g,p,w,o,p,y,d,e
x,f,n,f,f,w,h,t,e,s,s,w,w,p,w,o,e,a,g,e
x,s,w,t,f,c,n,e,e,s,s,w,w,p,w,o,p,v,g,p
x,y,g,t,f,c,p,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,n,t,f,c,n,t,b,s,s,w,w,p,w,o,p,v,d,e
x,f,n,t,f,c,p,t,b,s,s,g,p,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,g,t,f,c,w,t,b,s,s,p,p,p,w,o,p,v,d,e
f,f,n,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
f,f,n,t,f,c,u,t,b,s,s,g,w,p,w,o,p,y,d,e
x,f,g,t,f,c,u,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,g,p,p,w,o,p,y,d,e
x,y,e,t,f,c,u,t,b,s,s,g,g,p,w,o,p,y,d,e
x,f,e,t,f,c,n,t,b,s,s,w,w,p,w,o,p,y,d,e
x,s,w,t,f,c,n,e,e,s,s,w,w,p,w,o,p,v,g,p
f,f,g,t,f,c,n,t,b,s,s,w,w,p,w,o,p,v,d,e
x,f,g,t,f,c,p,t,b,s,s,g,p,p,w,o,p,v,d,e
f,y,e,t,f,c,w,t,b,s,s,w,p,p,w,o,p,v,d,e
f,y,g,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,n,t,f,c,w,t,b,s,s,w,w,p,w,o,p,v,d,e
x,y,e,t,f,c,w,t,b,s,s,g,w,p,w,o,p,y,d,e
x,f,e,t,f,c,w,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,g,w,p,w,o,p,y,d,e
f,f,g,t,f,c,n,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,w,w,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,g,t,f,c,n,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,g,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,n,t,f,c,w,t,b,s,s,g,p,p,w,o,p,v,d,e
x,y,n,t,f,c,u,t,b,s,s,g,w,p,w,o,p,y,d,e
x,y,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
f,f,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,v,d,e
x,f,n,t,f,c,u,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,n,t,f,c,p,t,b,s,s,g,w,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,g,p,p,w,o,p,y,d,e
f,f,g,t,f,c,n,t,b,s,s,p,p,p,w,o,p,y,d,e
x,f,e,t,f,c,u,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,n,t,f,c,p,t,b,s,s,g,g,p,w,o,p,v,d,e
x,s,p,f,f,c,g,e,b,s,s,w,w,p,w,o,p,v,d,p
x,f,e,t,f,c,u,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,n,t,f,c,w,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,n,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,e,t,f,c,u,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,e,t,f,c,n,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,g,t,f,c,w,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,g,t,f,c,n,t,b,s,s,p,w,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,g,w,p,w,o,p,v,d,e
x,f,g,t,f,c,u,t,b,s,s,p,g,p,w,o,p,y,d,e
f,f,g,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,e,t,f,c,u,t,b,s,s,w,g,p,w,o,p,v,d,e
f,y,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
f,y,e,t,f,c,u,t,b,s,s,g,w,p,w,o,p,v,d,e
x,y,g,t,f,c,u,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,g,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
x,f,g,t,f,c,n,t,b,s,s,p,w,p,w,o,p,y,d,e
x,f,g,f,f,c,h,e,b,k,k,b,b,p,w,o,l,y,g,p
x,y,n,t,f,c,u,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,g,p,p,w,o,p,y,d,e
x,f,n,t,f,c,w,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,n,t,f,c,p,t,b,s,s,p,w,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,g,t,f,c,p,t,b,s,s,p,w,p,w,o,p,y,d,e
x,y,g,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
x,f,g,f,f,w,k,t,e,s,f,w,w,p,w,o,e,a,g,e
x,y,g,t,f,c,n,t,b,s,s,w,w,p,w,o,p,y,d,e
x,f,e,t,f,c,p,t,b,s,s,w,p,p,w,o,p,y,d,e
f,f,n,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,e,t,f,c,n,t,b,s,s,g,w,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,w,w,p,w,o,p,v,d,e
x,f,n,t,f,c,p,t,b,s,s,g,g,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,w,p,p,w,o,p,v,d,e
x,f,n,t,f,c,w,t,b,s,s,w,p,p,w,o,p,v,d,e
f,f,g,t,f,c,p,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,g,t,f,c,n,t,b,s,s,g,w,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,w,p,p,w,o,p,v,d,e
f,f,n,t,f,c,u,t,b,s,s,p,w,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,g,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,g,p,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,p,w,p,w,o,p,v,d,e
x,f,n,t,f,c,u,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,g,t,f,c,w,t,b,s,s,g,p,p,w,o,p,v,d,e
f,f,g,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
x,f,g,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
x,f,n,t,f,c,w,t,b,s,s,g,g,p,w,o,p,v,d,e
x,y,g,t,f,c,w,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,g,t,f,c,p,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,e,t,f,c,n,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,n,t,f,c,w,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,g,t,f,c,u,t,b,s,s,w,g,p,w,o,p,y,d,e
f,y,n,t,f,c,k,e,e,s,s,w,w,p,w,o,p,s,u,p
x,s,g,f,f,w,n,t,e,f,s,w,w,p,w,o,e,s,g,e
x,f,g,t,f,c,u,t,b,s,s,g,p,p,w,o,p,v,d,e
x,f,e,t,f,c,n,t,b,s,s,w,g,p,w,o,p,y,d,e
x,s,p,f,f,w,u,e,b,s,s,w,w,p,w,o,p,s,d,p
x,y,n,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
x,f,e,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,e,t,f,c,u,t,b,s,s,p,g,p,w,o,p,v,d,e
x,s,w,f,f,w,k,t,e,s,s,w,w,p,w,o,e,s,g,e
f,f,g,t,f,c,p,t,b,s,s,g,p,p,w,o,p,v,d,e
x,y,g,t,f,c,n,t,b,s,s,g,p,p,w,o,p,v,d,e
x,y,g,t,f,c,n,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,e,t,f,c,n,t,b,s,s,g,w,p,w,o,p,y,d,e
x,y,g,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,g,t,f,c,w,t,b,s,s,w,p,p,w,o,p,v,d,e
x,f,e,t,f,c,p,t,b,s,s,g,p,p,w,o,p,y,d,e
f,y,w,t,f,c,p,e,e,s,s,w,w,p,w,o,p,v,u,p
f,f,n,t,f,c,u,t,b,s,s,w,w,p,w,o,p,y,d,e
x,f,e,t,f,c,w,t,b,s,s,g,w,p,w,o,p,y,d,e
x,f,e,t,f,c,n,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,g,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
f,s,w,f,f,w,h,t,e,f,f,w,w,p,w,o,e,s,g,e
x,f,n,f,f,w,k,t,e,f,s,w,w,p,w,o,e,a,g,e
x,f,n,t,f,c,w,t,b,s,s,p,p,p,w,o,p,v,d,e
f,f,n,t,f,c,n,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,e,t,f,c,u,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,e,t,f,c,p,t,b,s,s,p,w,p,w,o,p,y,d,e
f,f,n,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,g,t,f,c,w,t,b,s,s,w,w,p,w,o,p,v,d,e
f,f,n,t,f,c,w,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,e,t,f,c,n,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,p,p,p,w,o,p,v,d,e
x,s,w,f,f,w,p,e,b,s,s,w,w,p,w,o,p,s,d,p
f,f,n,t,f,c,u,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,g,t,f,c,p,t,b,s,s,p,p,p,w,o,p,y,d,e
f,f,n,t,f,c,u,t,b,s,s,w,w,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,v,d,e
x,f,e,t,f,c,w,t,b,s,s,g,p,p,w,o,p,y,d,e
f,s,w,f,f,w,n,t,e,f,s,w,w,p,w,o,e,s,g,e
x,y,g,t,f,c,u,t,b,s,s,p,p,p,w,o,p,y,d,e
x,f,e,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
f,f,n,t,f,c,n,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,w,g,p,w,o,p,v,d,e
x,y,n,t,f,c,n,t,b,s,s,g,w,p,w,o,p,y,d,e
x,y,g,t,f,c,n,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,w,w,p,w,o,p,v,d,e
x,f,g,t,f,c,u,t,b,s,s,p,w,p,w,o,p,y,d,e
x,y,n,t,f,c,w,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,n,t,f,c,p,t,b,s,s,w,p,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,p,w,p,w,o,p,y,d,e
x,y,g,t,f,c,n,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,e,t,f,c,w,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,p,p,p,w,o,p,y,d,e
x,f,g,f,f,c,g,e,b,k,k,n,b,p,w,o,l,y,p,p
f,f,g,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,e,t,f,c,u,t,b,s,s,g,g,p,w,o,p,v,d,e
x,f,g,f,f,c,h,e,b,k,k,p,b,p,w,o,l,v,d,p
x,y,e,t,f,c,n,t,b,s,s,w,w,p,w,o,p,v,d,e
x,f,e,t,f,c,n,t,b,s,s,w,g,p,w,o,p,v,d,e
x,f,g,f,f,c,h,e,b,k,k,b,n,p,w,o,l,y,d,p
x,f,p,f,f,w,n,e,b,s,s,w,w,p,w,o,p,s,d,p
x,f,g,t,f,c,u,t,b,s,s,w,w,p,w,o,p,v,d,e
f,f,g,t,f,c,p,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,g,t,f,c,u,t,b,s,s,w,p,p,w,o,p,v,d,e
x,y,g,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,g,t,f,c,n,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,g,g,p,w,o,p,y,d,e
x,f,g,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,e,t,f,c,p,t,b,s,s,g,p,p,w,o,p,v,d,e
x,f,n,t,f,c,w,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,n,t,f,c,u,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
f,f,n,t,f,c,u,t,b,s,s,p,w,p,w,o,p,v,d,e
f,f,g,t,f,c,n,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,n,t,f,c,u,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,e,t,f,c,w,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,n,t,f,c,u,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,g,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,n,t,f,c,u,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,w,f,f,c,g,e,b,s,s,w,w,p,w,o,p,v,d,p
f,f,n,t,f,c,u,t,b,s,s,w,p,p,w,o,p,y,d,e
x,y,e,t,f,c,w,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,n,t,f,c,n,t,b,s,s,g,g,p,w,o,p,y,d,e
f,f,g,t,f,c,n,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,e,t,f,c,w,t,b,s,s,w,p,p,w,o,p,y,d,e
x,f,g,f,f,c,p,e,b,k,k,b,p,p,w,o,l,y,d,p
x,y,e,t,f,c,n,t,b,s,s,w,p,p,w,o,p,y,d,e
f,f,g,t,f,c,p,t,b,s,s,g,g,p,w,o,p,v,d,e
f,y,e,t,f,c,w,t,b,s,s,w,w,p,w,o,p,v,d,e
x,f,e,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,g,f,f,c,p,e,b,k,k,b,p,p,w,o,l,v,g,p
x,y,n,t,f,c,w,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,n,t,f,c,p,t,b,s,s,g,p,p,w,o,p,v,d,e
x,y,n,t,f,c,p,t,b,s,s,g,w,p,w,o,p,v,d,e
x,y,n,t,f,c,n,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,g,t,f,c,u,t,b,s,s,w,g,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,g,t,f,c,p,t,b,s,s,g,g,p,w,o,p,y,d,e
x,y,e,t,f,c,n,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,e,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
x,y,g,t,f,c,p,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,e,t,f,c,n,t,b,s,s,w,g,p,w,o,p,v,d,e
f,f,n,t,f,c,n,t,b,s,s,p,p,p,w,o,p,v,d,e
f,f,n,t,f,c,w,t,b,s,s,w,g,p,w,o,p,v,d,e
x,y,g,t,f,c,p,t,b,s,s,p,p,p,w,o,p,v,d,e
x,y,g,t,f,c,w,t,b,s,s,p,g,p,w,o,p,y,d,e
x,f,e,t,f,c,u,t,b,s,s,p,g,p,w,o,p,v,d,e
f,f,n,t,f,c,w,t,b,s,s,g,g,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,p,g,p,w,o,p,v,d,e
x,y,e,t,f,c,p,t,b,s,s,g,p,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,p,w,p,w,o,p,v,d,e
f,f,n,t,f,c,p,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,n,t,f,c,w,t,b,s,s,p,p,p,w,o,p,v,d,e
x,f,g,f,f,c,g,e,b,k,k,b,n,p,w,o,l,v,p,p
x,f,g,t,f,c,n,t,b,s,s,w,w,p,w,o,p,y,d,e
x,y,n,t,f,c,w,t,b,s,s,g,g,p,w,o,p,y,d,e
x,f,g,t,f,c,n,t,b,s,s,w,g,p,w,o,p,y,d,e
x,f,g,t,f,c,n,t,b,s,s,p,p,p,w,o,p,y,d,e
x,y,g,t,f,c,w,t,b,s,s,g,w,p,w,o,p,v,d,e
f,f,n,t,f,c,u,t,b,s,s,w,w,p,w,o,p,y,d,e
f,f,g,t,f,c,n,t,b,s,s,g,g,p,w,o,p,y,d,e
x,y,n,t,f,c,n,t,b,s,s,p,g,p,w,o,p,v,d,e
x,f,e,t,f,c,w,t,b,s,s,p,w,p,w,o,p,y,d,e
f,f,n,t,f,c,n,t,b,s,s,g,w,p,w,o,p,v,d,e
x,f,g,f,f,c,g,e,b,k,k,p,n,p,w,o,l,v,p,p
x,f,e,t,f,c,p,t,b,s,s,p,w,p,w,o,p,v,d,e
